Province/State;Country/Region;Lat;Long;Date;Confirmed;Recovered;Deaths
Anhui;Mainland China;31.8257;117.2264;22.01.2020;1;0;0
Anhui;Mainland China;31.8257;117.2264;23.01.2020;9;0;0
Anhui;Mainland China;31.8257;117.2264;24.01.2020;15;0;0
Anhui;Mainland China;31.8257;117.2264;25.01.2020;39;0;0
Anhui;Mainland China;31.8257;117.2264;26.01.2020;60;0;0
Anhui;Mainland China;31.8257;117.2264;27.01.2020;70;0;0
Anhui;Mainland China;31.8257;117.2264;28.01.2020;106;0;0
Anhui;Mainland China;31.8257;117.2264;29.01.2020;152;2;0
Anhui;Mainland China;31.8257;117.2264;30.01.2020;200;2;0
Anhui;Mainland China;31.8257;117.2264;31.01.2020;237;3;0
Anhui;Mainland China;31.8257;117.2264;01.02.2020;297;5;0
Anhui;Mainland China;31.8257;117.2264;02.02.2020;340;7;0
Anhui;Mainland China;31.8257;117.2264;03.02.2020;408;14;0
Anhui;Mainland China;31.8257;117.2264;04.02.2020;480;20;0
Anhui;Mainland China;31.8257;117.2264;05.02.2020;530;23;0
Anhui;Mainland China;31.8257;117.2264;06.02.2020;591;34;0
Anhui;Mainland China;31.8257;117.2264;07.02.2020;665;47;0
Anhui;Mainland China;31.8257;117.2264;08.02.2020;733;59;0
Anhui;Mainland China;31.8257;117.2264;09.02.2020;779;72;1
Anhui;Mainland China;31.8257;117.2264;10.02.2020;830;88;3
Anhui;Mainland China;31.8257;117.2264;11.02.2020;860;105;4
Anhui;Mainland China;31.8257;117.2264;12.02.2020;889;127;4
Anhui;Mainland China;31.8257;117.2264;13.02.2020;910;157;5
Anhui;Mainland China;31.8257;117.2264;14.02.2020;934;193;6
Anhui;Mainland China;31.8257;117.2264;15.02.2020;950;221;6
Anhui;Mainland China;31.8257;117.2264;16.02.2020;962;255;6
Anhui;Mainland China;31.8257;117.2264;17.02.2020;973;280;6
Anhui;Mainland China;31.8257;117.2264;18.02.2020;982;361;6
Anhui;Mainland China;31.8257;117.2264;19.02.2020;986;413;6
Anhui;Mainland China;31.8257;117.2264;20.02.2020;987;474;6
Anhui;Mainland China;31.8257;117.2264;21.02.2020;988;539;6
Anhui;Mainland China;31.8257;117.2264;22.02.2020;989;597;6
Anhui;Mainland China;31.8257;117.2264;23.02.2020;989;637;6
Anhui;Mainland China;31.8257;117.2264;24.02.2020;989;663;6
Anhui;Mainland China;31.8257;117.2264;25.02.2020;989;712;6
Anhui;Mainland China;31.8257;117.2264;26.02.2020;989;744;6
Anhui;Mainland China;31.8257;117.2264;27.02.2020;989;792;6
Anhui;Mainland China;31.8257;117.2264;28.02.2020;990;821;6
Anhui;Mainland China;31.8257;117.2264;29.02.2020;990;868;6
Anhui;Mainland China;31.8257;117.2264;01.03.2020;990;873;6
Anhui;Mainland China;31.8257;117.2264;02.03.2020;990;917;6
Anhui;Mainland China;31.8257;117.2264;03.03.2020;990;936;6
Anhui;Mainland China;31.8257;117.2264;04.03.2020;990;956;6
Anhui;Mainland China;31.8257;117.2264;05.03.2020;990;970;6
Anhui;Mainland China;31.8257;117.2264;06.03.2020;990;979;6
Anhui;Mainland China;31.8257;117.2264;07.03.2020;990;979;6
Anhui;Mainland China;31.8257;117.2264;08.03.2020;990;984;6
Anhui;Mainland China;31.8257;117.2264;09.03.2020;990;984;6
Beijing;Mainland China;40.1824;116.4142;22.01.2020;14;0;0
Beijing;Mainland China;40.1824;116.4142;23.01.2020;22;0;0
Beijing;Mainland China;40.1824;116.4142;24.01.2020;36;1;0
Beijing;Mainland China;40.1824;116.4142;25.01.2020;41;2;0
Beijing;Mainland China;40.1824;116.4142;26.01.2020;68;2;0
Beijing;Mainland China;40.1824;116.4142;27.01.2020;80;2;1
Beijing;Mainland China;40.1824;116.4142;28.01.2020;91;4;1
Beijing;Mainland China;40.1824;116.4142;29.01.2020;111;4;1
Beijing;Mainland China;40.1824;116.4142;30.01.2020;114;4;1
Beijing;Mainland China;40.1824;116.4142;31.01.2020;139;5;1
Beijing;Mainland China;40.1824;116.4142;01.02.2020;168;9;1
Beijing;Mainland China;40.1824;116.4142;02.02.2020;191;9;1
Beijing;Mainland China;40.1824;116.4142;03.02.2020;212;12;1
Beijing;Mainland China;40.1824;116.4142;04.02.2020;228;23;1
Beijing;Mainland China;40.1824;116.4142;05.02.2020;253;24;1
Beijing;Mainland China;40.1824;116.4142;06.02.2020;274;31;1
Beijing;Mainland China;40.1824;116.4142;07.02.2020;297;33;1
Beijing;Mainland China;40.1824;116.4142;08.02.2020;315;34;2
Beijing;Mainland China;40.1824;116.4142;09.02.2020;326;37;2
Beijing;Mainland China;40.1824;116.4142;10.02.2020;337;44;2
Beijing;Mainland China;40.1824;116.4142;11.02.2020;342;48;3
Beijing;Mainland China;40.1824;116.4142;12.02.2020;352;56;3
Beijing;Mainland China;40.1824;116.4142;13.02.2020;366;69;3
Beijing;Mainland China;40.1824;116.4142;14.02.2020;372;80;3
Beijing;Mainland China;40.1824;116.4142;15.02.2020;375;98;4
Beijing;Mainland China;40.1824;116.4142;16.02.2020;380;108;4
Beijing;Mainland China;40.1824;116.4142;17.02.2020;381;114;4
Beijing;Mainland China;40.1824;116.4142;18.02.2020;387;122;4
Beijing;Mainland China;40.1824;116.4142;19.02.2020;393;145;4
Beijing;Mainland China;40.1824;116.4142;20.02.2020;395;153;4
Beijing;Mainland China;40.1824;116.4142;21.02.2020;396;169;4
Beijing;Mainland China;40.1824;116.4142;22.02.2020;399;178;4
Beijing;Mainland China;40.1824;116.4142;23.02.2020;399;189;4
Beijing;Mainland China;40.1824;116.4142;24.02.2020;399;198;4
Beijing;Mainland China;40.1824;116.4142;25.02.2020;400;215;4
Beijing;Mainland China;40.1824;116.4142;26.02.2020;400;235;4
Beijing;Mainland China;40.1824;116.4142;27.02.2020;410;248;5
Beijing;Mainland China;40.1824;116.4142;28.02.2020;410;257;7
Beijing;Mainland China;40.1824;116.4142;29.02.2020;411;271;8
Beijing;Mainland China;40.1824;116.4142;01.03.2020;413;276;8
Beijing;Mainland China;40.1824;116.4142;02.03.2020;414;282;8
Beijing;Mainland China;40.1824;116.4142;03.03.2020;414;288;8
Beijing;Mainland China;40.1824;116.4142;04.03.2020;418;297;8
Beijing;Mainland China;40.1824;116.4142;05.03.2020;418;297;8
Beijing;Mainland China;40.1824;116.4142;06.03.2020;422;299;8
Beijing;Mainland China;40.1824;116.4142;07.03.2020;426;303;8
Beijing;Mainland China;40.1824;116.4142;08.03.2020;428;308;8
